tournament_id,team_id,team_name,squad_size,squad_perf_coverage,squad_elo_coverage,squad_avg_club_strength,squad_max_club_strength,squad_min_club_strength,squad_pct_elite_clubs,squad_n_clubs,squad_n_leagues,squad_avg_minutes,squad_total_minutes,squad_avg_goals,squad_total_goals,squad_avg_assists,squad_avg_appearances,squad_fwd_avg_goals,squad_fwd_avg_assists,squad_fwd_avg_minutes,squad_fwd_avg_strength,squad_mid_avg_goals,squad_mid_avg_assists,squad_mid_avg_minutes,squad_mid_avg_strength,squad_def_avg_minutes,squad_def_avg_goals,squad_def_avg_strength,squad_gk_avg_clean_sheets,squad_gk_avg_minutes,squad_gk_avg_goals_conceded,squad_gk_avg_strength,year
WC-2006,T-02,Angola,9,0.7777777777777778,0.5555555555555556,1526.3747460947002,1700.64794922,1441.86987305,0.0,5.0,4.0,218.57142857142858,1530.0,2.4285714285714284,17.0,0.42857142857142855,13.285714285714286,4.0,0.75,167.75,1547.500964355875,,,,,286.3333333333333,0.3333333333333333,1441.86987305,,,,,2006
WC-2006,T-03,Argentina,20,0.8,0.75,1827.9187125654666,1972.82653809,1727.44616699,0.3333333333333333,12.0,6.0,824.75,13196.0,7.0,112.0,2.375,35.8125,14.25,3.25,506.0,1907.995910645,9.6,4.6,692.2,1807.523999024,766.3333333333334,1.1666666666666667,1795.4897802744,14.0,3113.0,31.0,1771.72814941,2006
WC-2006,T-04,Australia,16,1.0,0.8125,1678.0948705418803,1864.28198242,1455.1146647144444,0.07692307692307693,11.0,7.0,1079.75,17276.0,3.9375,63.0,2.125,31.75,6.5,2.0,347.5,1666.7676323781482,5.4,4.2,1133.0,1643.184765624,1006.5,1.6666666666666667,1719.7963256825,17.0,4182.0,55.0,1719.82128906,2006
WC-2006,T-09,Brazil,20,0.9,0.85,1857.8777070905883,1972.82653809,1669.04333496,0.5882352941176471,10.0,9.0,1407.0,25326.0,7.388888888888889,133.0,4.444444444444445,39.166666666666664,15.75,5.25,475.5,1872.3415222175,12.5,10.5,1384.0,1913.4385376,1248.75,2.5,1808.27434431,19.5,3949.0,36.0,1891.44018555,2006
WC-2006,T-17,Costa Rica,8,0.625,0.125,1489.5193536936365,1489.5193536936365,1489.5193536936365,0.0,1.0,1.0,28.2,141.0,0.2,1.0,0.2,11.2,1.0,1.0,141.0,,0.0,0.0,0.0,,0.0,0.0,1489.5193536936365,,,,,2006
WC-2006,T-18,Croatia,16,0.9375,0.6875,1715.938036339063,1948.81884766,1535.78309631375,0.18181818181818182,9.0,6.0,949.5333333333333,14243.0,3.8666666666666667,58.0,2.0,28.0,18.0,7.0,674.5,1689.755859375,2.625,1.875,1030.625,1664.04439148005,469.6666666666667,0.3333333333333333,1842.8214925133334,9.0,1620.0,13.5,1647.1202460394445,2006
WC-2006,T-20,Czech Republic,17,0.8823529411764706,0.8235294117647058,1716.07609558125,1948.81884766,1535.78309631375,0.21428571428571427,12.0,7.0,1021.4,15321.0,3.6,54.0,3.6,31.866666666666667,6.0,3.0,419.6,1662.9001159675,4.0,7.75,1132.0,1758.8193969725,992.0,1.6,1679.4472473155001,22.0,3735.0,25.0,1940.9510498,2006
WC-2006,T-25,Ecuador,5,0.4,0.4,1617.1195096122729,1661.11169434,1573.1273248845455,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.5,,,,,0.0,0.0,0.0,1573.1273248845455,0.0,0.0,1661.11169434,,,,,2006
WC-2006,T-28,England,23,1.0,1.0,1801.6851032641305,1940.9510498,1487.481740315,0.5217391304347826,13.0,6.0,1017.0869565217391,23393.0,5.565217391304348,128.0,4.173913043478261,35.78260869565217,10.5,5.0,325.25,1755.0563354475,8.0,7.111111111111111,1042.4444444444443,1830.0336507166664,564.2857142857143,2.0,1862.4326695028572,8.666666666666666,2920.0,35.666666666666664,1637.066830105,2006
WC-2006,T-30,France,19,1.0,1.0,1826.6652645704212,1940.9510498,1642.17321777,0.5789473684210527,13.0,7.0,1143.0526315789473,21718.0,6.526315789473684,124.0,3.9473684210526314,41.31578947368421,21.25,5.5,556.5,1892.8326721175,5.6,6.2,705.6,1830.7373547358002,1124.625,1.375,1820.56933593625,16.0,3483.5,36.0,1708.5339385995,2006
