key_id,tm_player_id,wc_tournament,position_code,family_name,given_name,national_team,birth_date,match_method,match_score,total_appearances,total_goals,total_assists,total_own_goals,total_penalty_goals,total_yellow_cards,total_second_yellows,total_red_cards,total_goals_conceded,total_clean_sheets,num_competitions,home_league,club,league,goals_per_app,assists_per_app,yellows_per_app,goals_conceded_per_app,clean_sheet_rate,has_stats,has_domestic,market_value,mv_date,club_league_position,league_tier,club_points,club_gf,club_ga,club_gd,league_country,league_country_code
8294,197114,WC-2006,GK,Ricardo,João,Angola,1970-01-07,name_only,100.0,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,
8298,20178,WC-2006,DF,Kali,not applicable,Angola,1978-10-11,dob+name,100.0,13.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,Liga Portugal 2,FC Barreirense,Liga Portugal 2,0.0,0.0,0.3076923076923077,0.0,0.0,True,True,400000.0,2006-03-07,,,,,,,Portugal,POR
8301,13162,WC-2006,MF,Macanga,André,Angola,1978-05-14,dob+name,100.0,,,,,,,,,,,,,,,,,,,,False,False,1200000.0,2004-10-03,,,,,,,,
8302,13233,WC-2006,FW,Mantorras,not applicable,Angola,1982-03-18,dob+name,100.0,24.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Liga Portugal,SL Benfica,Liga Portugal,0.125,0.041666666666666664,0.0,0.0,0.0,True,True,4250000.0,2005-10-27,3.0,1.0,67.0,51.0,29.0,22.0,Portugal,POR
8304,37947,WC-2006,FW,Mateus,not applicable,Angola,1984-06-19,dob+name,100.0,5.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Liga Portugal,Gil Vicente FC,Liga Portugal,0.8,0.4,0.2,0.0,0.0,True,True,800000.0,2006-05-23,12.0,1.0,40.0,37.0,42.0,-5.0,Portugal,POR
8308,605,WC-2006,DF,Marques,Rui,Angola,1977-09-03,dob+name,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Championship,Hull City,Championship,0.0,0.0,0.0,0.0,0.0,True,True,500000.0,2005-02-10,18.0,2.0,52.0,49.0,55.0,-6.0,England,ENG
8309,16093,WC-2006,FW,Flávio,not applicable,Angola,1979-12-20,name_only,100.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2. Bundesliga,FC Hansa Rostock,2. Bundesliga,0.0,0.0,0.16666666666666666,0.0,0.0,True,True,100000.0,2005-07-14,10.0,2.0,43.0,44.0,49.0,-5.0,Germany,GER
8312,30302,WC-2006,FW,Buengo,Titi,Angola,1980-02-11,dob+lastname,100.0,28.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,Ligue 2,Clermont Foot Auvergne,Ligue 2,0.32142857142857145,0.0,0.0,0.0,0.0,True,True,150000.0,2005-04-09,18.0,2.0,38.0,35.0,59.0,-24.0,France,FRA
8316,24863,WC-2006,DF,Abreu,Marco,Angola,1974-12-08,dob+name,100.0,15.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,Liga Portugal 2,Portimonense SAD,Liga Portugal 2,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,True,True,300000.0,2006-05-23,,,,,,,Portugal,POR
8320,6150,WC-2006,DF,Coloccini,Fabricio,Argentina,1982-01-22,dob+name,100.0,32.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,2.0,LaLiga,Deportivo de La Coruña,LaLiga,0.0,0.0,0.1875,0.0,0.0,True,True,8000000.0,2004-10-03,8.0,1.0,55.0,47.0,45.0,2.0,Spain,ESP
8321,7520,WC-2006,MF,Cambiasso,Esteban,Argentina,1980-08-18,dob+name,100.0,48.0,6.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,Serie A,Inter Milan,Serie A,0.125,0.08333333333333333,0.10416666666666667,0.0,0.0,True,True,19000000.0,2006-04-08,1.0,1.0,76.0,68.0,30.0,38.0,Italy,ITA
8322,5555,WC-2006,DF,Heinze,Gabriel,Argentina,1978-04-19,dob+name,100.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Premier League,Manchester United,Premier League,0.3333333333333333,0.0,0.0,0.0,0.0,True,True,16750000.0,2005-10-17,2.0,1.0,83.0,72.0,34.0,38.0,England,ENG
8323,7611,WC-2006,FW,Saviola,Javier,Argentina,1981-12-11,dob+name,100.0,41.0,15.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,LaLiga,Sevilla FC,LaLiga,0.36585365853658536,0.04878048780487805,0.04878048780487805,0.0,0.0,True,True,11500000.0,2005-04-23,5.0,1.0,68.0,54.0,39.0,15.0,Spain,ESP
8324,19981,WC-2006,MF,Mascherano,Javier,Argentina,1984-06-08,dob+name,100.0,,,,,,,,,,,,,,,,,,,,False,False,11800000.0,2005-05-16,,,,,,,,
8325,3410,WC-2006,FW,Crespo,Hernán,Argentina,1975-07-05,dob+name,100.0,42.0,13.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,Premier League,Chelsea FC,Premier League,0.30952380952380953,0.09523809523809523,0.023809523809523808,0.0,0.0,True,True,15000000.0,2005-04-02,1.0,1.0,91.0,72.0,22.0,50.0,England,ENG
8326,3854,WC-2006,MF,Riquelme,Juan Román,Argentina,1978-06-24,dob+name,100.0,38.0,14.0,7.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,4.0,LaLiga,Villarreal CF,LaLiga,0.3684210526315789,0.18421052631578946,0.21052631578947367,0.0,0.0,True,True,18000000.0,2006-03-05,7.0,1.0,57.0,50.0,39.0,11.0,Spain,ESP
8327,4276,WC-2006,FW,Tevez,Carlos,Argentina,1984-02-05,dob+name,100.0,,,,,,,,,,,,,,,,,,,,False,False,15000000.0,2004-10-03,,,,,,,,
